,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14,0.1,0.28,0.51,0.37,1.0,0.0,0.87,0.0,0.01,0.0,1.0,0.0,0.05,0.05,0.08,0.0,0.05,0.0,0.44
15,0.04,0.0,0.0,0.0,0.0,0.01,0.62,0.03,0.46,0.0,0.03,0.0,0.0,0.0,0.18,0.0,0.0,0.01,0.45
16,0.03,0.08,0.1,0.05,0.01,0.01,0.51,0.01,0.08,0.0,0.02,0.0,0.0,0.0,0.17,0.0,0.0,0.01,0.45
17,0.02,0.06,0.08,0.03,0.01,0.01,0.68,0.01,0.07,0.0,0.01,0.0,0.0,0.0,0.11,0.0,0.0,0.01,0.45
18,0.03,0.12,0.15,0.07,0.02,0.01,0.38,0.01,0.15,0.0,0.02,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.45
19,0.02,0.0,0.01,0.0,0.0,0.01,0.35,0.01,0.12,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.01,0.45
20,0.03,0.12,0.11,0.07,0.04,0.01,0.95,0.0,0.02,0.0,0.14,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.45
21,0.06,0.17,0.13,0.09,0.05,0.01,0.43,0.01,0.13,0.0,0.07,0.0,0.0,0.0,0.06,0.0,0.0,0.01,0.44
22,0.03,0.04,0.06,0.02,0.01,0.01,0.33,0.02,0.1,0.0,0.05,0.0,0.0,0.0,0.07,0.0,0.0,0.01,0.44
23,0.09,0.18,0.24,0.12,0.04,0.01,0.09,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.0,0.01,0.45
24,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.44
25,0.01,0.0,0.0,0.01,0.0,0.12,0.49,0.03,0.08,0.01,0.01,0.0,0.0,0.0,0.09,0.0,0.0,0.11,0.5
26,0.03,0.02,0.02,0.02,0.0,0.03,0.44,0.01,0.03,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.02,0.46
27,0.02,0.02,0.01,0.02,0.0,0.03,0.41,0.03,0.07,0.01,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.45
28,0.01,0.01,0.02,0.02,0.01,0.02,0.37,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.81,0.01,0.0,0.02,0.45
29,0.04,0.02,0.02,0.03,0.01,0.02,0.28,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.11,0.0,0.0,0.01,0.45
30,0.05,0.01,0.0,0.01,0.0,0.01,0.34,0.02,0.06,0.01,0.01,0.0,0.0,0.0,0.16,0.0,0.0,0.02,0.44
31,0.03,0.03,0.01,0.02,0.0,0.01,0.29,0.01,0.06,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.45
32,0.02,0.0,0.0,0.0,0.0,0.01,0.1,0.01,0.06,0.0,0.01,0.0,0.0,0.0,0.14,0.0,0.0,0.01,0.45
33,0.01,0.01,0.03,0.04,0.0,0.01,0.09,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.22,0.0,0.0,0.01,0.45
34,0.03,0.0,0.0,0.01,0.0,0.07,0.43,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.07,0.34,0.0,0.06,0.48
35,0.02,0.04,0.04,0.05,0.0,0.07,0.52,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.08,0.34,0.0,0.06,0.48
36,0.01,0.01,0.01,0.01,0.0,0.29,0.48,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.24,0.6
37,0.03,0.05,0.08,0.07,0.01,0.27,0.54,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.11,0.0,0.0,0.23,0.59
38,0.03,0.02,0.03,0.03,0.0,0.05,0.44,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.47
39,0.05,0.01,0.02,0.03,0.01,0.05,0.48,0.01,0.07,0.01,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.04,0.47
40,0.04,0.01,0.01,0.02,0.0,0.03,0.47,0.12,0.13,0.0,0.14,0.0,0.0,0.0,0.12,0.0,0.0,0.03,0.45
41,0.01,0.0,0.01,0.01,0.01,0.03,0.33,0.04,0.06,0.03,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.05,0.45
42,0.07,0.02,0.02,0.04,0.01,0.02,0.28,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.45
43,0.04,0.0,0.0,0.0,0.0,0.21,0.17,0.0,0.01,0.0,0.01,0.13,0.0,0.0,1.0,0.01,0.0,0.18,0.56
44,0.05,0.02,0.02,0.03,0.01,0.21,0.09,0.0,0.03,0.0,0.0,0.27,0.0,0.0,0.08,0.01,0.0,0.18,0.56
45,0.02,0.0,0.0,0.0,0.01,0.26,0.75,0.69,0.72,0.55,0.01,0.33,0.0,0.0,0.07,0.0,0.0,0.62,0.33
46,0.03,0.03,0.02,0.03,0.02,1.0,0.41,0.0,0.01,0.0,0.02,1.0,0.01,0.01,0.09,0.0,0.01,0.85,1.0
47,0.07,0.03,0.02,0.05,0.07,0.5,0.95,1.0,1.0,0.8,0.14,1.0,0.05,0.05,0.19,0.0,0.05,1.0,0.35
48,0.01,0.02,0.02,0.03,0.05,0.03,0.41,0.59,0.6,0.47,0.01,0.0,0.0,0.0,0.16,0.0,0.0,0.36,0.23
49,0.0,0.01,0.02,0.04,0.02,0.06,0.04,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.09,0.0,0.0,0.05,0.48
50,0.01,0.0,0.0,0.02,0.02,0.08,0.14,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.07,0.49
51,0.04,0.0,0.0,0.02,0.04,0.14,0.65,0.0,0.03,0.0,0.48,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.52
52,0.06,0.01,0.01,0.02,0.0,0.05,0.26,0.26,0.41,0.01,0.01,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.46
53,0.04,0.0,0.0,0.0,0.0,0.02,0.34,0.35,0.38,0.05,0.01,0.0,0.0,0.0,0.22,0.0,0.0,0.05,0.42
54,0.04,0.0,0.0,0.01,0.01,0.0,0.4,0.35,0.4,0.24,0.01,0.0,0.0,0.0,0.13,0.0,0.0,0.18,0.33
